mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std
independent,standard,standard,deepseek/deepseek-v4-flash,1.6739836768934753,,37.03832496219077,,15.0,,136.0,,13.28716310973984,,66.4358155486992,,0.0,,0.0,,254.77826514900153,,0.0,,1.0,35.0,,-14.0,,1.1623358751613342,,9.27347967353787,,75.0,254775.30216500052,3397.0040288666737,21.25402625997419,,19.248921696646025,,50.0,
independent,aggressive,standard,deepseek/deepseek-v4-flash,0.4132917305972228,,37.95853753255953,,12.0,,122.0,,16.278135759982522,,81.3906787999126,,0.0,,0.0,,263.64641275599934,,0.0,,1.0,26.333333333333332,,,,-3.837587034699345,,6.228265834611946,,60.0,263644.07335999387,4394.0678893332315,13.67150531756588,,12.850135022274111,,31.837587034699347,
independent,conservative,standard,deepseek/deepseek-v4-flash,33.29404053546502,,48.49609850534335,,20.0,,155.0,,28.748365674488504,,143.7418283724425,,0.0,,0.0,,390.56138613999974,,0.0,,0.0,59.0,,20.0,,25.929237300989797,,18.81259107145272,,100.0,390557.36384099146,3905.5736384099146,13.8086488252935,,15.329033140170315,,40.187408928547285,
independent,free_rider,standard,deepseek/deepseek-v4-flash,0.0,,39.298037105023354,,11.0,,120.0,,15.87054868108454,,79.3527434054227,,0.0,,0.0,,197.54005083599986,,0.0,,1.0,25.0,,-14.0,,-1.1472565945772937,,,,55.0,197537.9251049999,3591.598638272725,23.063561055132368,,20.83360084335125,,58.5,
