mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,reward_free_rider,mean_absolute_reward_gap,reward_std,reward_range
independent,0,1.6739836768934753,37.03832496219077,True,14.0,15,136.0,13.28716310973984,66.4358155486992,0,0,254.77826514900153,0.0,"{'Growth Department': 36.0, 'Trading/Opportunity Team': 34.0, 'Compliance Department': -14.0, 'Operations Department': 1.1623358751613342, 'Risk Department': 9.27347967353787}",35.0,-14.0,1.1623358751613342,9.27347967353787,75,254775.30216500052,3397.0040288666737,deepseek/deepseek-v4-flash,standard,standard,,21.25402625997419,19.248921696646025,50.0
independent,0,0.4132917305972228,37.95853753255953,True,11.0,12,122.0,16.278135759982522,81.3906787999126,0,0,263.64641275599934,0.0,"{'Growth Department': 28.0, 'Trading/Opportunity Team': 23.0, 'Investment Department': 28.0, 'Operations Department': -3.837587034699345, 'Risk Department': 6.228265834611946}",26.333333333333332,,-3.837587034699345,6.228265834611946,60,263644.07335999387,4394.0678893332315,deepseek/deepseek-v4-flash,aggressive,standard,,13.67150531756588,12.850135022274111,31.837587034699347
independent,0,33.29404053546502,48.49609850534335,False,,20,155.0,28.748365674488504,143.7418283724425,0,0,390.56138613999974,0.0,"{'Growth Department': 59.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 25.929237300989797, 'Risk Department': 18.81259107145272}",59.0,20.0,25.929237300989797,18.81259107145272,100,390557.36384099146,3905.5736384099146,deepseek/deepseek-v4-flash,conservative,standard,,13.8086488252935,15.329033140170315,40.187408928547285
independent,0,0.0,39.298037105023354,True,10.0,11,120.0,15.87054868108454,79.3527434054227,0,0,197.54005083599986,0.0,"{'Growth Department': 26.0, 'Trading/Opportunity Team': 24.0, 'Compliance Department': -14.0, 'Operations Department': -1.1472565945772937, 'Saboteur Department': 44.5}",25.0,-14.0,-1.1472565945772937,,55,197537.9251049999,3591.598638272725,deepseek/deepseek-v4-flash,free_rider,standard,44.5,23.063561055132368,20.83360084335125,58.5
