mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
crewai_debate,0,29.470406070412423,44.008585021555,False,,20,159.0,28.805406593369753,144.02703296684876,6.797936366557342,6.780162257974194,14.514135257832145,220,60,1910.2261523140005,0.9,"{'Growth Department': 35.0, 'Trading/Opportunity Team': 34.0, 'Investment Department': 34.0, 'Operations Department': 20.485864742167855, 'Risk Department': 20.541168224680906}",34.333333333333336,,20.485864742167855,20.541168224680906,320,1910222.6718610027,5969.445849565634,deepseek/deepseek-v4-flash,aggressive,standard,,,,
independent,0,23.13477318628224,43.854754249943696,False,,20,163.0,29.5151429738553,147.5757148692765,12.354669078751703,14.304571329975378,37.0,0,0,575.5699584819995,0.0,"{'Growth Department': 58.0, 'Compliance Department': 21.0, 'ESG Department': 22.0, 'Operations Department': 24.896198305737325, 'Risk Department': 21.679516563539185}",58.0,21.5,24.896198305737325,21.679516563539185,100,575566.5979800051,5755.665979800051,deepseek/deepseek-v4-flash,conservative,standard,,,,
centralized_profit,0,33.47662095302789,44.29125565938388,False,,20,155.0,28.12962099433539,140.64810497167696,8.70522761951371,8.235926447720535,24.253189216761243,120,20,388.42024812899945,0.65,"{'Growth Department': 43.0, 'Compliance Department': 24.0, 'ESG Department': 25.0, 'Operations Department': 29.901294188438204, 'Risk Department': 18.746810783238757}",43.0,24.5,29.901294188438204,18.746810783238757,100,388416.8454700011,3884.168454700011,deepseek/deepseek-v4-flash,conservative,standard,0.0,Growth Department,profit,
centralized_sustainability,0,63.24957992671101,55.057503331627764,False,,20,135.0,26.31825244446469,131.59126222232345,3.9718154992972314,3.6271062629168465,10.410861549428077,120,20,382.3850117189995,0.75,"{'Growth Department': 28.0, 'Compliance Department': 31.0, 'ESG Department': 24.0, 'Operations Department': 28.002123771751542, 'Risk Department': 20.589138450571923}",28.0,27.5,28.002123771751542,20.589138450571923,100,382381.6340880021,3823.816340880021,deepseek/deepseek-v4-flash,conservative,standard,1.0,Compliance Department,sustainability,
centralized_risk_averse,0,72.9295457478843,66.3741082157388,False,,20,113.0,22.318854452100886,111.59427226050443,0.6098328766385839,0.5755474247137955,1.4057277394955747,120,20,359.3268242989998,0.9,"{'Growth Department': 23.0, 'Compliance Department': 22.0, 'ESG Department': 22.0, 'Operations Department': 23.0, 'Risk Department': 21.594272260504425}",23.0,22.0,23.0,21.594272260504425,100,359323.5643479966,3593.2356434799663,deepseek/deepseek-v4-flash,conservative,standard,4.0,Risk Department,risk_averse,
structured_debate,0,7.360949003313129,37.9801446911526,False,,20,167.0,20.92934951038753,104.64674755193765,21.01781565923894,20.29096482890767,57.0,300,40,347.1179512409999,0.05,"{'Growth Department': 58.0, 'Compliance Department': 1.0, 'ESG Department': 4.0, 'Operations Department': 20.28539968169426, 'Risk Department': 21.361347870243396}",58.0,2.5,20.28539968169426,21.361347870243396,100,347114.35981200705,3471.1435981200707,deepseek/deepseek-v4-flash,conservative,standard,,,,
llm_centralized,0,49.27565939475522,55.87739681383316,False,,20,144.0,28.23903991031323,141.19519955156616,6.843141181167144,6.200343458134939,15.191477610242828,120,20,436.6397828139998,0.9,"{'Growth Department': 36.0, 'Compliance Department': 22.0, 'ESG Department': 28.0, 'Operations Department': 34.38667716180899, 'Risk Department': 20.808522389757172}",36.0,25.0,34.38667716180899,20.808522389757172,120,436634.4226439942,3638.620188699952,deepseek/deepseek-v4-flash,conservative,standard,,,,
crewai_debate,0,49.69724443225232,55.58248791892428,False,,20,145.0,28.50087947887377,142.50439739436885,9.391472641604777,8.917362068587465,21.064102205220337,220,60,2325.087552633,0.8,"{'Growth Department': 40.0, 'Compliance Department': 22.0, 'ESG Department': 23.0, 'Operations Department': 38.56849959958918, 'Risk Department': 18.935897794779663}",40.0,22.5,38.56849959958918,18.935897794779663,320,2325083.9872020115,7265.887460006286,deepseek/deepseek-v4-flash,conservative,standard,,,,
independent,0,3.9763551408955493,42.83827506559833,True,8.0,9,109.0,14.929293624144984,74.64646812072492,15.336565100684012,14.022809292451402,42.5,0,0,252.87862552600018,0.0,"{'Growth Department': 19.0, 'Trading/Opportunity Team': 19.0, 'Compliance Department': -7.0, 'Operations Department': 8.146468120724922, 'Saboteur Department': 35.5}",19.0,-7.0,8.146468120724922,,45,252877.2411139871,5619.4942469774915,deepseek/deepseek-v4-flash,free_rider,standard,,,,35.5
centralized_profit,0,1.9188638907032196,40.22270279212852,True,8.0,9,109.0,14.509920041533746,72.54960020766873,14.712063966773004,13.433227199965389,39.5,54,9,178.9497061509992,0.1111111111111111,"{'Growth Department': 20.0, 'Trading/Opportunity Team': 20.0, 'Compliance Department': -7.0, 'Operations Department': 7.049600207668732, 'Saboteur Department': 32.5}",20.0,-7.0,7.049600207668732,,45,178948.1517789918,3976.6255950887066,deepseek/deepseek-v4-flash,free_rider,standard,0.0,Growth Department,profit,32.5
centralized_sustainability,0,72.23146382759927,64.1669193006318,False,,20,119.0,26.2,131.0,4.16,4.915282290977803,13.0,120,20,366.51701618900006,0.9,"{'Growth Department': 24.0, 'Trading/Opportunity Team': 23.0, 'Compliance Department': 24.0, 'Operations Department': 24.0, 'Saboteur Department': 36.0}",23.5,24.0,24.0,,100,366513.66438701004,3665.1366438701,deepseek/deepseek-v4-flash,free_rider,standard,2.0,Compliance Department,sustainability,36.0
structured_debate,0,2.781610458040573,32.94420007782023,True,19.0,20,161.0,18.71183065765022,93.55915328825111,26.710535473879823,24.35088121387652,69.5,300,40,457.62919392000003,0.8,"{'Growth Department': 30.0, 'Trading/Opportunity Team': 30.0, 'Compliance Department': -19.0, 'Operations Department': 2.0591532882511077, 'Saboteur Department': 50.5}",30.0,-19.0,2.0591532882511077,,100,457625.555821005,4576.25555821005,deepseek/deepseek-v4-flash,free_rider,standard,,,,50.5
llm_centralized,0,48.98324295464158,60.935892176782275,False,,20,141.0,30.82132213283113,154.10661066415565,4.382942293735097,4.8952769811697765,13.5,120,20,456.236713915001,1.0,"{'Growth Department': 29.0, 'Trading/Opportunity Team': 29.0, 'Compliance Department': 27.0, 'Operations Department': 28.606610664155642, 'Saboteur Department': 40.5}",29.0,27.0,28.606610664155642,,120,456232.19561601034,3801.934963466753,deepseek/deepseek-v4-flash,free_rider,standard,,,,40.5
crewai_debate,0,42.67399894314405,50.058868128344486,False,,20,154.0,32.019093205186635,160.09546602593318,4.624725435850691,4.508335100809461,12.0,220,60,1871.3711079030018,0.95,"{'Growth Department': 35.0, 'Trading/Opportunity Team': 35.0, 'Compliance Department': 24.0, 'Operations Department': 30.09546602593318, 'Saboteur Department': 36.0}",35.0,24.0,30.09546602593318,,320,1871367.5819469863,5848.023693584332,deepseek/deepseek-v4-flash,free_rider,standard,,,,36.0
