mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean,leader_index,leader_name,leader_role
centralized_sustainability,conservative,standard,deepseek/deepseek-v4-flash,63.24957992671101,,55.057503331627764,,20.0,,135.0,,26.31825244446469,,131.59126222232345,,3.9718154992972314,,3.6271062629168465,,10.410861549428077,,120.0,,20.0,,382.3850117189995,,0.75,,0.0,28.0,,27.5,,28.002123771751542,,20.589138450571923,,100.0,382381.6340880021,3823.816340880021,1.0,Compliance Department,sustainability
centralized_risk_averse,conservative,standard,deepseek/deepseek-v4-flash,72.9295457478843,,66.3741082157388,,20.0,,113.0,,22.318854452100886,,111.59427226050443,,0.6098328766385839,,0.5755474247137955,,1.4057277394955747,,120.0,,20.0,,359.3268242989998,,0.9,,0.0,23.0,,22.0,,23.0,,21.594272260504425,,100.0,359323.5643479966,3593.2356434799663,4.0,Risk Department,risk_averse
structured_debate,conservative,standard,deepseek/deepseek-v4-flash,7.360949003313129,,37.9801446911526,,20.0,,167.0,,20.92934951038753,,104.64674755193765,,21.01781565923894,,20.29096482890767,,57.0,,300.0,,40.0,,347.1179512409999,,0.05,,0.0,58.0,,2.5,,20.28539968169426,,21.361347870243396,,100.0,347114.35981200705,3471.1435981200707,,,
llm_centralized,conservative,standard,deepseek/deepseek-v4-flash,49.27565939475522,,55.87739681383316,,20.0,,144.0,,28.23903991031323,,141.19519955156616,,6.843141181167144,,6.200343458134939,,15.191477610242828,,120.0,,20.0,,436.6397828139998,,0.9,,0.0,36.0,,25.0,,34.38667716180899,,20.808522389757172,,120.0,436634.4226439942,3638.620188699952,,,
crewai_debate,conservative,standard,deepseek/deepseek-v4-flash,49.69724443225232,,55.58248791892428,,20.0,,145.0,,28.50087947887377,,142.50439739436885,,9.391472641604777,,8.917362068587465,,21.064102205220337,,220.0,,60.0,,2325.087552633,,0.8,,0.0,40.0,,22.5,,38.56849959958918,,18.935897794779663,,320.0,2325083.9872020115,7265.887460006286,,,
independent,free_rider,standard,deepseek/deepseek-v4-flash,3.9763551408955493,,42.83827506559833,,9.0,,109.0,,14.929293624144984,,74.64646812072492,,15.336565100684012,,14.022809292451402,,42.5,,0.0,,0.0,,252.87862552600018,,0.0,,1.0,19.0,,-7.0,,8.146468120724922,,,,45.0,252877.2411139871,5619.4942469774915,,,
centralized_profit,free_rider,standard,deepseek/deepseek-v4-flash,1.9188638907032196,,40.22270279212852,,9.0,,109.0,,14.509920041533746,,72.54960020766873,,14.712063966773004,,13.433227199965389,,39.5,,54.0,,9.0,,178.9497061509992,,0.1111111111111111,,1.0,20.0,,-7.0,,7.049600207668732,,,,45.0,178948.1517789918,3976.6255950887066,0.0,Growth Department,profit
centralized_sustainability,free_rider,standard,deepseek/deepseek-v4-flash,72.23146382759927,,64.1669193006318,,20.0,,119.0,,26.2,,131.0,,4.16,,4.915282290977803,,13.0,,120.0,,20.0,,366.51701618900006,,0.9,,0.0,23.5,,24.0,,24.0,,,,100.0,366513.66438701004,3665.1366438701,2.0,Compliance Department,sustainability
structured_debate,free_rider,standard,deepseek/deepseek-v4-flash,2.781610458040573,,32.94420007782023,,20.0,,161.0,,18.71183065765022,,93.55915328825111,,26.710535473879823,,24.35088121387652,,69.5,,300.0,,40.0,,457.62919392000003,,0.8,,1.0,30.0,,-19.0,,2.0591532882511077,,,,100.0,457625.555821005,4576.25555821005,,,
llm_centralized,free_rider,standard,deepseek/deepseek-v4-flash,48.98324295464158,,60.935892176782275,,20.0,,141.0,,30.82132213283113,,154.10661066415565,,4.382942293735097,,4.8952769811697765,,13.5,,120.0,,20.0,,456.236713915001,,1.0,,0.0,29.0,,27.0,,28.606610664155642,,,,120.0,456232.19561601034,3801.934963466753,,,
crewai_debate,free_rider,standard,deepseek/deepseek-v4-flash,42.67399894314405,,50.058868128344486,,20.0,,154.0,,32.019093205186635,,160.09546602593318,,4.624725435850691,,4.508335100809461,,12.0,,220.0,,60.0,,1871.3711079030018,,0.95,,0.0,35.0,,24.0,,30.09546602593318,,,,320.0,1871367.5819469863,5848.023693584332,,,
