mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,memory_mode,memory_window,mean_absolute_reward_gap,reward_std,reward_range
independent,,0.0,36.27131110932944,True,15.0,16,166.0,20.35927405283286,101.7963702641643,0,0,351.3757697129913,0.0,"{'Growth Department': 42.0, 'Trading/Opportunity Team': 41.0, 'Compliance Department': -3.0, 'Operations Department': 10.516370264164287, 'Risk Department': 11.28}",41.5,-3.0,10.516370264164287,11.28,80,351372.53172801866,4392.156646600233,deepseek/deepseek-v4-flash,previous,1,19.277380757733713,17.996289860642012,45.0
llm_centralized,,25.675421137247078,50.23930461054508,False,,20,174.0,32.63067272364713,163.15336361823566,120,20,561.2942110740114,0.95,"{'Growth Department': 37.0, 'Trading/Opportunity Team': 38.0, 'Compliance Department': 31.0, 'Operations Department': 31.626512509289526, 'Risk Department': 25.526851108946147}",37.5,31.0,31.626512509289526,25.526851108946147,120,561287.131058998,4677.3927588249835,deepseek/deepseek-v4-flash,previous,1,4.951407645137233,4.5177961231048585,12.473148891053853
crewai_debate,,47.223388290732466,64.40891409815036,False,,20,172.0,34.152090502428685,170.76045251214342,220,60,1980.715635703993,0.9,"{'Growth Department': 43.0, 'Trading/Opportunity Team': 43.0, 'Compliance Department': 24.0, 'Operations Department': 40.7760176894051, 'Risk Department': 19.98443482273832}",43.0,24.0,40.7760176894051,19.98443482273832,320,1977272.5081070384,6178.976587834495,deepseek/deepseek-v4-flash,previous,1,10.404980856723737,10.04225896260952,23.01556517726168
independent,,1.1258692771133187,44.28371675859212,True,19.0,20,201.0,29.020777617641052,145.10388808820525,0,0,423.20042733399896,0.0,"{'Growth Department': 52.0, 'Trading/Opportunity Team': 53.0, 'Compliance Department': 1.0, 'Operations Department': 21.845814687363653, 'Risk Department': 17.258073400841596}",52.5,1.0,21.845814687363653,17.258073400841596,100,423194.97158791637,4231.949715879164,deepseek/deepseek-v4-flash,full_history,5,22.198708255865345,20.38653010789522,52.0
llm_centralized,,48.55163916775452,66.95177288188029,False,,20,159.0,31.561219635972947,157.80609817986473,120,20,564.1438350539975,0.95,"{'Growth Department': 32.0, 'Trading/Opportunity Team': 32.0, 'Compliance Department': 32.0, 'Operations Department': 35.89415774933796, 'Risk Department': 25.911940430526794}",32.0,32.0,35.89415774933796,25.911940430526794,120,564125.4088789865,4701.045073991554,deepseek/deepseek-v4-flash,full_history,5,3.194309542019572,3.2020709816899617,9.982217318811163
crewai_debate,,22.948031337294182,47.323049512200804,False,,20,154.0,28.557270412365614,142.78635206182807,220,60,2305.1229341870057,0.95,"{'Growth Department': 34.0, 'Trading/Opportunity Team': 34.0, 'Compliance Department': 25.0, 'Operations Department': 26.02615817374134, 'Risk Department': 23.760193888086743}",34.0,25.0,26.02615817374134,23.760193888086743,320,2305117.359449083,7203.491748278384,deepseek/deepseek-v4-flash,full_history,5,4.716737955812242,4.501538756008092,10.239806111913257
