mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,reward_free_rider,mean_absolute_reward_gap,reward_std,reward_range
independent,0,2.461917060834706,38.488687117148636,True,11,12,124.0,12.88833667520604,64.4416833760302,0,0,196.75464878099956,0.0,"{'Growth Department': 31.0, 'Trading/Opportunity Team': 28.0, 'Compliance Department': -8.0, 'Operations Department': 6.09244503481351, 'Risk Department': 7.349238341216693}",29.5,-8.0,6.09244503481351,7.349238341216693,60,196752.4850560021,3279.2080842667015,deepseek/deepseek-v4-flash,standard,standard,,15.98520879442984,14.625888550313295,39.0
independent,0,2.2646446636420734,41.100945841355404,True,9,10,114.0,15.495309193721798,77.47654596860899,0,0,215.3970593539998,0.0,"{'Growth Department': 24.0, 'Trading/Opportunity Team': 23.0, 'Investment Department': 22.0, 'Operations Department': 5.171253075336146, 'Risk Department': 3.305292893272841}",23.0,,5.171253075336146,3.305292893272841,50,215395.4205409973,4307.908410819946,deepseek/deepseek-v4-flash,aggressive,standard,,9.474905782098908,9.231942205563216,20.694707106727158
independent,0,3.2186527872005204,35.77154941976477,True,16,17,151.0,12.972886637095026,64.86443318547514,0,0,358.1478213980008,0.0,"{'Growth Department': 45.0, 'Compliance Department': -2.0, 'ESG Department': -3.0, 'Operations Department': 8.500060129731121, 'Risk Department': 16.36437305574401}",45.0,-2.5,8.500060129731121,16.36437305574401,85,358144.75578300154,4213.467715094136,deepseek/deepseek-v4-flash,conservative,standard,,18.29829968891904,17.53034391688886,48.0
independent,0,2.6051755729676422,41.91200645234068,True,8,9,110.0,15.069066913482692,75.34533456741346,0,0,136.1355682960002,0.0,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 20.0, 'Compliance Department': -7.0, 'Operations Department': 5.845334567413463, 'Saboteur Department': 35.5}",20.5,-7.0,5.845334567413463,,45,136134.01360300122,3025.200302288916,deepseek/deepseek-v4-flash,free_rider,standard,35.5,16.024746469213845,14.4847095103071,42.5
