mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std
independent,standard,standard,deepseek/deepseek-v4-flash,2.461917060834706,,38.488687117148636,,12.0,,124.0,,12.88833667520604,,64.4416833760302,,0.0,,0.0,,196.75464878099956,,0.0,,1.0,29.5,,-8.0,,6.09244503481351,,7.349238341216693,,60.0,196752.4850560021,3279.2080842667015,15.98520879442984,,14.625888550313295,,39.0,
independent,aggressive,standard,deepseek/deepseek-v4-flash,2.2646446636420734,,41.100945841355404,,10.0,,114.0,,15.495309193721798,,77.47654596860899,,0.0,,0.0,,215.3970593539998,,0.0,,1.0,23.0,,,,5.171253075336146,,3.305292893272841,,50.0,215395.4205409973,4307.908410819946,9.474905782098908,,9.231942205563216,,20.694707106727158,
independent,conservative,standard,deepseek/deepseek-v4-flash,3.2186527872005204,,35.77154941976477,,17.0,,151.0,,12.972886637095026,,64.86443318547514,,0.0,,0.0,,358.1478213980008,,0.0,,1.0,45.0,,-2.5,,8.500060129731121,,16.36437305574401,,85.0,358144.75578300154,4213.467715094136,18.29829968891904,,17.53034391688886,,48.0,
independent,free_rider,standard,deepseek/deepseek-v4-flash,2.6051755729676422,,41.91200645234068,,9.0,,110.0,,15.069066913482692,,75.34533456741346,,0.0,,0.0,,136.1355682960002,,0.0,,1.0,20.5,,-7.0,,5.845334567413463,,,,45.0,136134.01360300122,3025.200302288916,16.024746469213845,,14.4847095103071,,42.5,
