mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
adaptive_voting,0,69.25246085037826,66.68940782302812,False,,100,587.5,115.25683442093964,576.2841721046982,3.4994928571244692,4.212002704296028,10.656002461726118,500,100,0.0031707819980510976,1.0,"{'Growth Department': 117.5, 'Trading/Opportunity Team': 117.5, 'Compliance Department': 117.5, 'Operations Department': 116.9401745664243, 'Risk Department': 106.84399753827388}",117.5,117.5,116.9401745664243,106.84399753827388,standard,asymmetric,,,,
adaptive_voting,1,70.50456951153184,66.01481397564837,False,,100,620.0,121.69400732963342,608.4700366481671,3.5185326402890813,4.09840625277687,10.460865649973925,500,100,0.002934100997663336,1.0,"{'Growth Department': 124.0, 'Trading/Opportunity Team': 124.0, 'Compliance Department': 124.0, 'Operations Department': 122.93090229814109, 'Risk Department': 113.53913435002607}",124.0,124.0,122.93090229814109,113.53913435002607,standard,asymmetric,,,,
adaptive_voting,2,50.4842802804588,60.72658516703131,False,,100,657.5,127.16581728362937,635.8290864181469,5.245109221767375,5.311128274924577,11.111019054192994,500,100,0.003299955998954829,1.0,"{'Growth Department': 131.5, 'Trading/Opportunity Team': 131.5, 'Compliance Department': 131.5, 'Operations Department': 120.9401054723399, 'Risk Department': 120.388980945807}",131.5,131.5,120.9401054723399,120.388980945807,standard,asymmetric,,,,
adaptive_voting,3,62.21638132378385,66.33108059510629,False,,100,657.5,129.0565089015118,645.2825445075589,3.636984363422889,4.0887007709436975,10.513696778951896,500,100,0.0035683970017998945,1.0,"{'Growth Department': 131.5, 'Trading/Opportunity Team': 131.5, 'Compliance Department': 131.5, 'Operations Department': 129.79624128651074, 'Risk Department': 120.9863032210481}",131.5,131.5,129.79624128651074,120.9863032210481,standard,asymmetric,,,,
adaptive_voting,4,53.94610874047605,66.24389202320546,False,,100,665.0,130.8481040182509,654.2405200912544,3.3679848294283965,4.0733176407451905,10.290425275181889,500,100,0.002941712002211716,1.0,"{'Growth Department': 133.0, 'Trading/Opportunity Team': 133.0, 'Compliance Department': 133.0, 'Operations Department': 132.5309453664363, 'Risk Department': 122.70957472481811}",133.0,133.0,132.5309453664363,122.70957472481811,standard,asymmetric,,,,
adaptive_voting,5,57.888743702855194,66.05137790625649,False,,100,637.5,125.04508892093686,625.2254446046843,3.6565705073701906,4.114787713511726,10.579010275747919,500,100,0.002947590000985656,1.0,"{'Growth Department': 127.5, 'Trading/Opportunity Team': 127.5, 'Compliance Department': 127.5, 'Operations Department': 125.80445488043215, 'Risk Department': 116.92098972425208}",127.5,127.5,125.80445488043215,116.92098972425208,standard,asymmetric,,,,
adaptive_voting,6,66.96094690538035,64.7376230837487,False,,100,667.5,131.2530692506537,656.2653462532686,3.4582119921533603,4.079596948361331,10.379171204227006,500,100,0.003215231998183299,1.0,"{'Growth Department': 133.5, 'Trading/Opportunity Team': 133.5, 'Compliance Department': 133.5, 'Operations Department': 132.6445174574955, 'Risk Department': 123.120828795773}",133.5,133.5,132.6445174574955,123.120828795773,standard,asymmetric,,,,
adaptive_voting,7,68.39217806769014,64.9510564847357,False,,100,620.0,120.94294191511146,604.7147095755573,4.2041373238493565,4.301376593134441,10.9905678496158,500,100,0.0034704880017670803,1.0,"{'Growth Department': 124.0, 'Trading/Opportunity Team': 124.0, 'Compliance Department': 124.0, 'Operations Department': 119.70527742517312, 'Risk Department': 113.0094321503842}",124.0,124.0,119.70527742517312,113.0094321503842,standard,asymmetric,,,,
adaptive_voting,8,68.69286238614025,64.06967520737234,False,,100,677.5,132.57832526956764,662.8916263478382,4.032594214272458,4.139680062977599,10.595340187041046,500,100,0.0032168350007850677,1.0,"{'Growth Department': 135.5, 'Trading/Opportunity Team': 135.5, 'Compliance Department': 135.5, 'Operations Department': 131.48696653487923, 'Risk Department': 124.90465981295895}",135.5,135.5,131.48696653487923,124.90465981295895,standard,asymmetric,,,,
adaptive_voting,9,74.62293544037189,66.58185806636823,False,,100,640.0,125.78325336129792,628.9162668064896,3.4705753702816855,4.199362986339519,10.607362870750194,500,100,0.0034588989983603824,1.0,"{'Growth Department': 128.0, 'Trading/Opportunity Team': 128.0, 'Compliance Department': 128.0, 'Operations Department': 127.52362967723985, 'Risk Department': 117.3926371292498}",128.0,128.0,127.52362967723985,117.3926371292498,standard,asymmetric,,,,
adaptive_voting,10,71.54220795530867,66.05227127181844,False,,100,627.5,123.41218050566692,617.0609025283346,3.279796545397626,3.9886142514999556,10.059630937069755,500,100,0.0038663140003336594,1.0,"{'Growth Department': 125.5, 'Trading/Opportunity Team': 125.5, 'Compliance Department': 125.5, 'Operations Department': 125.12053346540435, 'Risk Department': 115.44036906293024}",125.5,125.5,125.12053346540435,115.44036906293024,standard,asymmetric,,,,
adaptive_voting,11,68.67180558385165,58.76054850918194,False,,100,657.5,125.59936142653142,627.9968071326571,7.63095684888661,7.546929288916376,18.19028743819841,500,100,0.0035584079996624496,1.0,"{'Growth Department': 131.5, 'Trading/Opportunity Team': 131.5, 'Compliance Department': 131.5, 'Operations Department': 113.30971256180159, 'Risk Department': 120.1870945708555}",131.5,131.5,113.30971256180159,120.1870945708555,standard,asymmetric,,,,
adaptive_voting,12,72.98646287850687,62.87029226452534,False,,100,632.5,122.53821151251914,612.6910575625957,4.889077115379512,4.881406184848799,10.747789533717608,500,100,0.003572116002032999,1.0,"{'Growth Department': 126.5, 'Trading/Opportunity Team': 126.5, 'Compliance Department': 126.5, 'Operations Department': 117.43884709631327, 'Risk Department': 115.75221046628239}",126.5,126.5,117.43884709631327,115.75221046628239,standard,asymmetric,,,,
