mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,recovery_noise_std,shock_probability,composition,leader_index,leader_name,leader_role
voting,4,0.06824462448422786,35.71582237040935,True,30.0,31,280.0,37.02045603135002,185.1022801567501,16.33046182659309,16.025435225325495,35.0,155,31,0.0010015350017056335,1.0,"{'Growth Department': 51.0, 'Trading/Opportunity Team': 51.0, 'Compliance Department': 16.0, 'Operations Department': 18.934613583793194, 'Risk Department': 48.16766657295693}",51.0,16.0,18.934613583793194,48.16766657295693,0.01,0.0,standard,,,
voting,5,3.4320716538221436,32.950591129799534,True,37.0,38,315.0,43.69367214719541,218.46836073597703,17.965382407034,17.40462252921916,43.64182002198125,190,38,0.000993921003100695,1.0,"{'Growth Department': 58.0, 'Trading/Opportunity Team': 58.0, 'Compliance Department': 33.0, 'Operations Department': 14.358179978018748, 'Risk Department': 55.11018075795828}",58.0,33.0,14.358179978018748,55.11018075795828,0.01,0.0,standard,,,
voting,6,0.0,32.16079553110204,True,67.0,68,515.0,77.62132690836476,388.10663454182384,28.018323278631943,29.521107162021707,77.55726024572482,340,68,0.0018804179999278858,1.0,"{'Growth Department': 98.0, 'Trading/Opportunity Team': 98.0, 'Compliance Department': 78.0, 'Operations Department': 20.442739754275177, 'Risk Department': 93.66389478754867}",98.0,78.0,20.442739754275177,93.66389478754867,0.01,0.0,standard,,,
voting,7,4.977630925455401,34.71570561032805,True,68.0,69,530.0,81.43921129252074,407.1960564626037,25.79420220229367,25.971089594436826,68.10688188216771,345,69,0.0021734629990532994,1.0,"{'Growth Department': 101.0, 'Trading/Opportunity Team': 101.0, 'Compliance Department': 76.0, 'Operations Department': 32.89311811783229, 'Risk Department': 96.30293834477142}",101.0,76.0,32.89311811783229,96.30293834477142,0.01,0.0,standard,,,
voting,8,2.8997968663502824,34.006123634330855,True,36.0,37,315.0,43.3373357104396,216.686678552198,17.676767202885188,17.051256058729994,40.2398975090162,185,37,0.0009950729981937911,1.0,"{'Growth Department': 58.0, 'Trading/Opportunity Team': 58.0, 'Compliance Department': 28.0, 'Operations Department': 17.760102490983794, 'Risk Department': 54.92657606121421}",58.0,28.0,17.760102490983794,54.92657606121421,0.01,0.0,standard,,,
voting,9,2.975701652440109,33.24692293882521,True,20.0,21,200.0,19.226925726172624,96.13462863086312,20.283543826163367,19.885573551990227,50.0,105,21,0.0005868590014870279,1.0,"{'Growth Department': 35.0, 'Trading/Opportunity Team': 35.0, 'Compliance Department': -15.0, 'Operations Department': 8.227851086478934, 'Risk Department': 32.90677754438418}",35.0,-15.0,8.227851086478934,32.90677754438418,0.01,0.0,standard,,,
adaptive_voting,0,70.96658603417528,67.928501834501,False,,100,675.0,133.94684360477495,669.7342180238747,1.6850502323600722,2.1063127904500902,5.265781976125226,500,100,0.0024717920023249462,1.0,"{'Growth Department': 135.0, 'Trading/Opportunity Team': 135.0, 'Compliance Department': 135.0, 'Operations Department': 135.0, 'Risk Department': 129.73421802387477}",135.0,135.0,135.0,129.73421802387477,0.01,0.0,standard,,,
adaptive_voting,1,68.16099782448636,65.78997394876265,False,,100,690.0,136.8381795481379,684.1908977406895,1.8589127229793758,2.3236409037242196,5.809102259310549,500,100,0.0026026039995485917,1.0,"{'Growth Department': 138.0, 'Trading/Opportunity Team': 138.0, 'Compliance Department': 138.0, 'Operations Department': 138.0, 'Risk Department': 132.19089774068945}",138.0,138.0,138.0,132.19089774068945,0.01,0.0,standard,,,
adaptive_voting,2,54.36712782896784,61.95381271564799,False,,100,725.0,143.3566905070768,716.783452535384,2.34513133104002,2.4952864473175556,6.44052335438397,500,100,0.0025236069996026345,1.0,"{'Growth Department': 145.0, 'Trading/Opportunity Team': 145.0, 'Compliance Department': 145.0, 'Operations Department': 143.22397588976781, 'Risk Department': 138.55947664561603}",145.0,145.0,143.22397588976781,138.55947664561603,0.01,0.0,standard,,,
adaptive_voting,3,58.500413948285164,64.72985895637628,False,,100,705.0,139.6554165734975,698.2770828674875,2.0381194949417614,2.3513973945572313,6.015329710873459,500,100,0.0025146109983325005,1.0,"{'Growth Department': 141.0, 'Trading/Opportunity Team': 141.0, 'Compliance Department': 141.0, 'Operations Department': 140.2924125783609, 'Risk Department': 134.98467028912654}",141.0,141.0,140.2924125783609,134.98467028912654,0.01,0.0,standard,,,
adaptive_voting,4,56.82705702406398,66.03394569222073,False,,100,700.0,138.82305551061168,694.1152775530584,1.8831111830213285,2.3538889787766606,5.884722446941652,500,100,0.002394516999629559,1.0,"{'Growth Department': 140.0, 'Trading/Opportunity Team': 140.0, 'Compliance Department': 140.0, 'Operations Department': 140.0, 'Risk Department': 134.11527755305835}",140.0,140.0,140.0,134.11527755305835,0.01,0.0,standard,,,
adaptive_voting,5,58.66586295821217,67.1920248419052,False,,100,685.0,135.90085723079704,679.5042861539852,1.758628430724748,2.1982855384059348,5.495713846014837,500,100,0.00240068700077245,1.0,"{'Growth Department': 137.0, 'Trading/Opportunity Team': 137.0, 'Compliance Department': 137.0, 'Operations Department': 137.0, 'Risk Department': 131.50428615398516}",137.0,137.0,137.0,131.50428615398516,0.01,0.0,standard,,,
adaptive_voting,6,61.667875526062105,65.13387984773662,False,,100,705.0,139.7791845023838,698.895922511919,1.9533047961859302,2.441630995232413,6.104077488081032,500,100,0.0024824979991535656,1.0,"{'Growth Department': 141.0, 'Trading/Opportunity Team': 141.0, 'Compliance Department': 141.0, 'Operations Department': 141.0, 'Risk Department': 134.89592251191897}",141.0,141.0,141.0,134.89592251191897,0.01,0.0,standard,,,
adaptive_voting,7,69.00925732297269,66.11820933364709,False,,100,685.0,135.859124487083,679.295622435415,1.8254008206672097,2.281751025834012,5.70437756458503,500,100,0.002542998998251278,1.0,"{'Growth Department': 137.0, 'Trading/Opportunity Team': 137.0, 'Compliance Department': 137.0, 'Operations Department': 137.0, 'Risk Department': 131.29562243541497}",137.0,137.0,137.0,131.29562243541497,0.01,0.0,standard,,,
adaptive_voting,8,68.26049227390317,61.683293926459285,False,,100,715.0,141.32179085444892,706.6089542722445,2.3566574732017034,2.4618633228899465,6.338063479755135,500,100,0.002425124002911616,1.0,"{'Growth Department': 143.0, 'Trading/Opportunity Team': 143.0, 'Compliance Department': 143.0, 'Operations Department': 140.94701775199962, 'Risk Department': 136.66193652024486}",143.0,143.0,140.94701775199962,136.66193652024486,0.01,0.0,standard,,,
adaptive_voting,9,70.3821253358564,66.71471970810398,False,,100,685.0,135.87108577884362,679.3554288942181,1.8062627538502147,2.2578284423127686,5.644571105781921,500,100,0.0025358040002174675,1.0,"{'Growth Department': 137.0, 'Trading/Opportunity Team': 137.0, 'Compliance Department': 137.0, 'Operations Department': 137.0, 'Risk Department': 131.35542889421808}",137.0,137.0,137.0,131.35542889421808,0.01,0.0,standard,,,
centralized_profit,0,0.44541316466115255,40.70492067082128,True,30.0,31,281.0,40.42492050935552,202.12460254677762,30.861488914642496,28.472432291539484,68.0,186,31,0.000868946997798048,0.2903225806451613,"{'Growth Department': 75.0, 'Trading/Opportunity Team': 73.0, 'Compliance Department': 7.0, 'Operations Department': 16.11569428348439, 'Risk Department': 31.008908263293232}",74.0,7.0,16.11569428348439,31.008908263293232,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,1,2.0498884385117417,40.919848668538236,True,33.0,34,297.0,42.0362795102117,210.1813975510585,32.28419233177496,29.534704321822062,74.0,204,34,0.0009104060009121895,0.35294117647058826,"{'Growth Department': 78.0, 'Trading/Opportunity Team': 75.0, 'Compliance Department': 4.0, 'Operations Department': 21.22379792640653, 'Risk Department': 31.957599624651976}",76.5,4.0,21.22379792640653,31.957599624651976,0.01,0.0,standard,0.0,Growth Department,profit
centralized_profit,2,3.7851942438234545,42.46474680798768,True,31.0,32,283.0,40.93915009726014,204.69575048630068,28.687525531395348,26.877098381519037,62.0,192,32,0.0008545599994249642,0.34375,"{'Growth Department': 73.0, 'Trading/Opportunity Team': 73.0, 'Compliance Department': 11.0, 'Operations Department': 17.702965428779066, 'Risk Department': 29.992785057521605}",73.0,11.0,17.702965428779066,29.992785057521605,0.01,0.0,standard,0.0,Growth Department,profit
