mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,leader_index,leader_name,leader_role,reward_free_rider
crewai_debate,0,1.5700313085534248,39.70821033466431,True,14.0,15,138.0,18.994810496827334,94.97405248413666,11.40212730526364,10.857882093044081,26.237348142034413,165,45,303.9130770009979,0.8666666666666667,"{'Growth Department': 29.0, 'Trading/Opportunity Team': 28.0, 'Investment Department': 26.0, 'Operations Department': 2.7626518579655883, 'Risk Department': 9.211400626171068}",27.666666666666668,,2.7626518579655883,9.211400626171068,240,303910.5331489918,1266.2938881207992,openai/gpt-5.4-nano,aggressive,standard,,,,
independent,0,41.139615273412126,50.797165916828774,False,,20,150.0,28.313590615646177,141.5679530782309,13.604470054976627,15.894380098239346,41.15332825512435,0,0,78.6877737520008,0.0,"{'Growth Department': 60.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 22.721281333355222, 'Risk Department': 18.846671744875653}",60.0,20.0,22.721281333355222,18.846671744875653,100,78684.46507800036,786.8446507800036,openai/gpt-5.4-nano,conservative,standard,,,,
centralized_profit,0,56.86317117935229,60.4571011307321,False,,20,134.0,26.589826580668387,132.94913290334193,8.496277470930579,8.508528072920962,18.05086709665806,120,20,73.72548203800034,0.95,"{'Growth Department': 37.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 37.0, 'Risk Department': 18.94913290334194}",37.0,20.0,37.0,18.94913290334194,100,73722.11312499348,737.2211312499348,openai/gpt-5.4-nano,conservative,standard,0.0,Growth Department,profit,
centralized_sustainability,0,74.61289299077524,70.68078318306694,False,,20,103.0,20.36946754158355,101.84733770791775,0.8488519334663226,0.8539436794273226,2.1526622920822582,120,20,75.34934760399847,1.0,"{'Growth Department': 21.0, 'Compliance Department': 21.0, 'ESG Department': 20.0, 'Operations Department': 21.0, 'Risk Department': 18.84733770791774}",21.0,20.5,21.0,18.84733770791774,100,75346.02747398822,753.4602747398822,openai/gpt-5.4-nano,conservative,standard,1.0,Compliance Department,sustainability,
centralized_risk_averse,0,74.95615627857127,71.77759681331392,False,,20,100.0,19.782743014212365,98.91371507106183,0.34761117726021323,0.43451397157526656,1.0862849289381664,120,20,75.58895698999913,1.0,"{'Growth Department': 20.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 20.0, 'Risk Department': 18.913715071061834}",20.0,20.0,20.0,18.913715071061834,100,75585.66432600492,755.8566432600492,openai/gpt-5.4-nano,conservative,standard,4.0,Risk Department,risk_averse,
structured_debate,0,31.49803233892156,48.582980648964515,False,,20,157.0,29.15853637921183,145.79268189605915,14.321201077307183,15.694417707612823,41.23827494570358,300,40,74.88658031999876,0.0,"{'Growth Department': 60.0, 'Compliance Department': 20.0, 'ESG Department': 20.0, 'Operations Department': 27.030956841762745, 'Risk Department': 18.761725054296416}",60.0,20.0,27.030956841762745,18.761725054296416,100,74882.88782696327,748.8288782696327,openai/gpt-5.4-nano,conservative,standard,,,,
llm_centralized,0,47.32978773779969,57.03911311086431,False,,20,144.0,28.35218349329199,141.76091746645994,10.414800485725346,9.85232181642791,25.110528523107824,120,20,117.84823887300081,0.7,"{'Growth Department': 44.0, 'Compliance Department': 22.0, 'ESG Department': 21.0, 'Operations Department': 35.87144598956776, 'Risk Department': 18.889471476892176}",44.0,21.5,35.87144598956776,18.889471476892176,120,117843.54062798957,982.0295052332464,openai/gpt-5.4-nano,conservative,standard,,,,
crewai_debate,0,51.90816103285937,57.63773409471503,False,,20,140.0,27.714988314629068,138.57494157314534,9.862843891776242,9.540590791454395,22.02261091681873,220,60,407.27109181000196,0.95,"{'Growth Department': 41.0, 'Compliance Department': 21.0, 'ESG Department': 20.0, 'Operations Department': 37.59755248996406, 'Risk Department': 18.97738908318127}",41.0,20.5,37.59755248996406,18.97738908318127,320,407267.6786549855,1272.7114957968297,openai/gpt-5.4-nano,conservative,standard,,,,
independent,0,0.0,41.26250408260621,True,9.0,10,116.0,16.17803478545501,80.89017392727506,19.21757217163599,17.386715650677033,50.0,0,0,37.50204488900272,0.0,"{'Growth Department': 24.0, 'Trading/Opportunity Team': 23.0, 'Compliance Department': -10.0, 'Operations Department': 3.890173927275061, 'Saboteur Department': 40.0}",23.5,-10.0,3.890173927275061,,50,37500.44347600851,750.0088695201703,openai/gpt-5.4-nano,free_rider,standard,,,,40.0
centralized_profit,0,0.0,40.67008198370577,True,9.0,10,118.0,16.548975052338932,82.74487526169466,19.560819958128853,17.82240984708623,50.0,60,10,39.88796333799837,0.0,"{'Growth Department': 25.0, 'Trading/Opportunity Team': 25.0, 'Compliance Department': -10.0, 'Operations Department': 2.7448752616946557, 'Saboteur Department': 40.0}",25.0,-10.0,2.7448752616946557,,50,39886.346384995704,797.7269276999141,openai/gpt-5.4-nano,free_rider,standard,0.0,Growth Department,profit,40.0
centralized_sustainability,0,74.2266518310227,69.83066930185625,False,,20,105.0,23.1,115.5,3.36,4.2,10.5,120,20,76.68268322899894,1.0,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 21.0, 'Compliance Department': 21.0, 'Operations Department': 21.0, 'Saboteur Department': 31.5}",21.0,21.0,21.0,,100,76679.34770899592,766.7934770899592,openai/gpt-5.4-nano,free_rider,standard,2.0,Compliance Department,sustainability,31.5
structured_debate,0,0.0,34.14430588768646,True,19.0,20,166.0,21.21694196220998,106.08470981104989,27.986446430232018,25.4756535735241,70.0,300,40,79.92504180600008,0.85,"{'Growth Department': 34.0, 'Trading/Opportunity Team': 33.0, 'Compliance Department': -15.0, 'Operations Department': -0.9152901889501095, 'Saboteur Department': 55.0}",33.5,-15.0,-0.9152901889501095,,100,79921.49084798075,799.2149084798075,openai/gpt-5.4-nano,free_rider,standard,,,,55.0
llm_centralized,0,24.269229765183226,47.400945091953574,False,,20,163.0,32.36289440910544,161.81447204552717,5.019368945431311,4.6390148591002625,14.185527954472846,120,20,106.07544769800006,1.0,"{'Growth Department': 40.0, 'Trading/Opportunity Team': 33.0, 'Compliance Department': 33.0, 'Operations Department': 25.814472045527154, 'Saboteur Department': 30.0}",36.5,33.0,25.814472045527154,,120,106070.72503200106,883.9227086000088,openai/gpt-5.4-nano,free_rider,standard,,,,30.0
crewai_debate,0,4.311213179082985,39.72121943052126,True,13.0,14,134.0,18.618599555692796,93.09299777846398,17.34512035544576,16.27933893938421,41.5,154,42,279.7577040169999,0.8571428571428571,"{'Growth Department': 29.0, 'Trading/Opportunity Team': 30.0, 'Compliance Department': -6.0, 'Operations Department': 4.59299777846398, 'Saboteur Department': 35.5}",29.5,-6.0,4.59299777846398,,224,279755.25438699697,1248.9073856562366,openai/gpt-5.4-nano,free_rider,standard,,,,35.5
