mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_calls_std,llm_total_latency_ms_mean,llm_total_latency_ms_std,llm_avg_latency_ms_mean,llm_avg_latency_ms_std,crisis_rate,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,leader_index,leader_name,leader_role
independent,conservative,standard,google/gemma-4-31b-it,34.35409328301031,,46.51016269842398,,20.0,,155.0,,28.505387401492904,,142.5269370074645,,0.0,,0.0,,329.8374422509951,,0.0,,60.0,,20.0,,21.707123446990337,,20.81981356047417,,100.0,,329833.2676000573,,3298.332676000573,,0.0,13.073139751518454,,15.759938391312517,,40.0,,,,
centralized_leader_idx1,conservative,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,120.0,,20.0,,324.03030828401097,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,324025.9011821472,,3240.259011821472,,0.0,0.34761117726021323,,0.43451397157526656,,1.0862849289381664,,1,Compliance Department,sustainability
centralized_leader_idx2,conservative,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,19.782743014212365,,98.91371507106184,,120.0,,20.0,,214.0513194919913,,1.0,,20.0,,20.0,,20.0,,18.91371507106184,,100.0,,214046.6059310565,,2140.466059310565,,0.0,0.34761117726021323,,0.43451397157526656,,1.0862849289381664,,2,ESG Department,sustainability
centralized_leader_idx4,conservative,standard,google/gemma-4-31b-it,74.44472174500655,,69.87103883171632,,20.0,,106.0,,20.98751336901456,,104.9375668450728,,120.0,,20.0,,210.55137092099176,,0.95,,22.0,,20.0,,22.0,,20.93756684507281,,100.0,,210546.797521034,,2105.46797521034,,0.0,0.96,,0.8947757617489792,,2.0,,4,Risk Department,risk_averse
structured_debate,conservative,standard,google/gemma-4-31b-it,32.0718632017096,,45.58249096128685,,20.0,,156.0,,28.488784066496464,,142.44392033248232,,300.0,,40.0,,283.76018509799906,,0.0,,60.0,,20.0,,21.653917362425776,,20.79000297005655,,100.0,,283755.66857702506,,2837.5566857702506,,0.0,13.064626777988124,,15.767449208393922,,40.0,,,,
llm_centralized,conservative,standard,google/gemma-4-31b-it,54.66481053584333,,59.605929666250304,,20.0,,137.0,,27.18677130727456,,135.93385653637282,,120.0,,20.0,,437.7520927240112,,1.0,,39.0,,20.0,,37.969873302021576,,18.963983234351243,,120.0,,437745.6107449543,,3647.880089541286,,0.0,9.286705093331054,,9.238411856093972,,20.036016765648757,,,,
crewai_debate,conservative,standard,google/gemma-4-31b-it,52.36069054304463,,58.11339357243046,,20.0,,139.0,,27.548462990983744,,137.74231495491873,,220.0,,60.0,,2492.1914314769965,,1.0,,40.0,,20.0,,38.77605916383,,18.96625579108873,,320.0,,2492186.6820950382,,7788.083381546994,,0.0,9.734967613064404,,9.682071650032812,,21.033744208911262,,,,
independent,free_rider,standard,google/gemma-4-31b-it,0.0,,40.55461918160128,,10.0,,118.0,,16.53511951608639,,82.67559758043195,,0.0,,0.0,,111.4631491580003,,0.0,,25.0,,-10.0,,2.6755975804319547,,,,50.0,,111461.32078494702,,2229.2264156989404,,1.0,19.571904387130886,,17.83315976127679,,50.0,,,,
centralized_leader_idx1,free_rider,standard,google/gemma-4-31b-it,0.7258689278809758,,40.62720607438938,,10.0,,114.0,,15.64382994322096,,78.21914971610481,,60.0,,10.0,,124.2393605699981,,0.1,,23.5,,-10.0,,2.7191497161048126,,,,50.0,,124237.43569204817,,2484.748713840964,,1.0,18.92493604542323,,17.152240079456146,,48.5,,1,Trading/Opportunity Team,profit
centralized_leader_idx2,free_rider,standard,google/gemma-4-31b-it,74.95615627857127,,71.77759681331392,,20.0,,100.0,,22.0,,110.0,,120.0,,20.0,,195.98290896599792,,1.0,,20.0,,20.0,,20.0,,,,100.0,,195979.13892004,,1959.7913892004,,0.0,3.2,,4.0,,10.0,,2,Compliance Department,sustainability
centralized_leader_idx4,free_rider,standard,google/gemma-4-31b-it,0.0,,40.55461918160128,,10.0,,117.0,,16.33511951608639,,81.67559758043195,,60.0,,10.0,,93.4730589210012,,0.0,,24.5,,-10.0,,2.6755975804319547,,,,50.0,,93471.3099549772,,1869.426199099544,,1.0,19.571904387130886,,17.742481080098585,,50.0,,4,Saboteur Department,free_rider
structured_debate,free_rider,standard,google/gemma-4-31b-it,1.7820398874261638,,36.93200059566363,,17.0,,152.0,,21.29771514484405,,106.48857572422024,,255.0,,34.0,,150.0242642209996,,0.8235294117647058,,31.0,,-8.0,,1.988575724220249,,,,85.0,,150020.82761498605,,1764.950913117483,,1.0,23.36182788412476,,21.31779107438836,,58.5,,,,
llm_centralized,free_rider,standard,google/gemma-4-31b-it,36.94640023156188,,50.73492987034706,,20.0,,154.0,,31.32265918148436,,156.6132959074218,,120.0,,20.0,,503.72421579100046,,1.0,,40.5,,20.0,,25.613295907421804,,,,120.0,,503718.9356790332,,4197.657797325276,,0.0,9.021872654812512,,8.142432514230842,,21.0,,,,
crewai_debate,free_rider,standard,google/gemma-4-31b-it,32.40174595552179,,48.10662668145004,,20.0,,155.0,,31.0819135390886,,155.409567695443,,220.0,,60.0,,2694.3886322679973,,1.0,,40.0,,20.0,,22.40956769544302,,,,320.0,,2694384.753028033,,8419.952353212602,,0.0,9.214469168729117,,8.494256624799442,,20.0,,,,
