mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean
independent,standard,standard,deepseek/deepseek-v4-flash,0.010967436399865527,,36.273912793740976,,13.0,,129.0,,12.380623271754047,,61.903116358770234,,18.143536478393244,,16.357762784265315,,45.0,,0.0,,0.0,,338.77572176600006,,0.0,,1.0,30.0,,-13.0,,4.602897010042233,,10.300219348727996,,65.0,338773.5717510077,5211.901103861657
free_negotiation,standard,standard,deepseek/deepseek-v4-flash,3.0553509772792786,,41.21932305825435,,13.0,,128.0,,13.604576935500711,,68.02288467750355,,19.078115574726727,,17.716960346539363,,45.0,,130.0,,26.0,,813.0566990439984,,0.46153846153846156,,1.0,34.0,,-11.0,,4.761777657957966,,6.261107019545587,,195.0,1110520.4119849913,5694.976471717904
independent,aggressive,standard,deepseek/deepseek-v4-flash,1.1490499808793864,,40.77572955025821,,10.0,,115.0,,15.672329511344145,,78.36164755672073,,9.53594974178818,,9.417622413399293,,20.961333442896855,,0.0,,0.0,,220.11940552300075,,0.0,,1.0,23.333333333333332,,,,3.038666557103146,,5.322980999617587,,50.0,220117.89841198697,4402.357968239739
free_negotiation,aggressive,standard,deepseek/deepseek-v4-flash,4.272992741402973,,45.79688188298474,,9.0,,108.0,,14.794362997549422,,73.97181498774711,,8.912436025187974,,8.887330390023324,,19.67454014517194,,90.0,,18.0,,445.4361556210024,,0.6666666666666666,,1.0,22.0,,,,5.6463551329190524,,2.3254598548280594,,135.0,596155.5935549586,4415.96735966636
independent,conservative,standard,deepseek/deepseek-v4-flash,0.008070360276537514,,34.84342723224897,,18.0,,158.0,,11.97282368359032,,59.8641184179516,,20.84162582515289,,20.134611628858284,,57.0,,0.0,,0.0,,400.3893051060004,,0.0,,1.0,49.0,,-6.0,,10.603957010746072,,12.260161407205533,,90.0,400386.317724995,4448.736863611056
free_negotiation,conservative,standard,deepseek/deepseek-v4-flash,14.795584736231305,,41.564856186414715,,20.0,,165.0,,25.24684653306614,,126.2342326653307,,16.118131355296974,,17.607727887367876,,47.0,,200.0,,40.0,,1153.6606953100018,,0.45,,0.0,60.0,,13.5,,20.73832097060607,,18.49591169472463,,300.0,1612480.5161169388,5374.935053723129
independent,free_rider,standard,deepseek/deepseek-v4-flash,0.17989934740595004,,41.6639568562592,,9.0,,112.0,,15.420932637845393,,77.10466318922697,,15.743253889723684,,14.1127301309017,,41.5,,0.0,,0.0,,169.36932332399738,,0.0,,1.0,20.5,,-6.0,,6.604663189226972,,,,45.0,169367.9874580048,3763.733054622329
free_negotiation,free_rider,standard,deepseek/deepseek-v4-flash,3.633679138307521,,44.00192895226989,,9.0,,109.0,,14.963170394344711,,74.81585197172356,,16.90946368452423,,15.329878935818813,,44.5,,90.0,,18.0,,537.252319823001,,0.5555555555555556,,1.0,21.5,,-9.0,,5.315851971723559,,,,135.0,707962.5714489885,5244.167195918433
