mechanism,seed,final_reserve,average_reserve,liquidity_crisis,time_to_crisis,steps_survived,total_withdrawal,average_reward,social_welfare,mean_absolute_reward_gap,reward_std,reward_range,total_messages,total_rounds,wall_time_seconds,debate_override_rate,reward_per_department,reward_profit,reward_sustainability,reward_balanced,reward_risk_averse,llm_calls,llm_total_latency_ms,llm_avg_latency_ms,model,composition,scale,reward_free_rider
independent,0,0.010967436399865527,36.273912793740976,True,12.0,13,129.0,12.380623271754047,61.903116358770234,18.143536478393244,16.357762784265315,45.0,0,0,338.77572176600006,0.0,"{'Growth Department': 32.0, 'Trading/Opportunity Team': 28.0, 'Compliance Department': -13.0, 'Operations Department': 4.602897010042233, 'Risk Department': 10.300219348727996}",30.0,-13.0,4.602897010042233,10.300219348727996,65,338773.5717510077,5211.901103861657,deepseek/deepseek-v4-flash,standard,standard,
free_negotiation,0,3.0553509772792786,41.21932305825435,True,12.0,13,128.0,13.604576935500711,68.02288467750355,19.078115574726727,17.716960346539363,45.0,130,26,813.0566990439984,0.46153846153846156,"{'Growth Department': 34.0, 'Trading/Opportunity Team': 34.0, 'Compliance Department': -11.0, 'Operations Department': 4.761777657957966, 'Risk Department': 6.261107019545587}",34.0,-11.0,4.761777657957966,6.261107019545587,195,1110520.4119849913,5694.976471717904,deepseek/deepseek-v4-flash,standard,standard,
independent,0,1.1490499808793864,40.77572955025821,True,9.0,10,115.0,15.672329511344145,78.36164755672073,9.53594974178818,9.417622413399293,20.961333442896855,0,0,220.11940552300075,0.0,"{'Growth Department': 23.0, 'Trading/Opportunity Team': 23.0, 'Investment Department': 24.0, 'Operations Department': 3.038666557103146, 'Risk Department': 5.322980999617587}",23.333333333333332,,3.038666557103146,5.322980999617587,50,220117.89841198697,4402.357968239739,deepseek/deepseek-v4-flash,aggressive,standard,
free_negotiation,0,4.272992741402973,45.79688188298474,True,8.0,9,108.0,14.794362997549422,73.97181498774711,8.912436025187974,8.887330390023324,19.67454014517194,90,18,445.4361556210024,0.6666666666666666,"{'Growth Department': 22.0, 'Trading/Opportunity Team': 22.0, 'Investment Department': 22.0, 'Operations Department': 5.6463551329190524, 'Risk Department': 2.3254598548280594}",22.0,,5.6463551329190524,2.3254598548280594,135,596155.5935549586,4415.96735966636,deepseek/deepseek-v4-flash,aggressive,standard,
independent,0,0.008070360276537514,34.84342723224897,True,17.0,18,158.0,11.97282368359032,59.8641184179516,20.84162582515289,20.134611628858284,57.0,0,0,400.3893051060004,0.0,"{'Growth Department': 49.0, 'Compliance Department': -8.0, 'ESG Department': -4.0, 'Operations Department': 10.603957010746072, 'Risk Department': 12.260161407205533}",49.0,-6.0,10.603957010746072,12.260161407205533,90,400386.317724995,4448.736863611056,deepseek/deepseek-v4-flash,conservative,standard,
free_negotiation,0,14.795584736231305,41.564856186414715,False,,20,165.0,25.24684653306614,126.2342326653307,16.118131355296974,17.607727887367876,47.0,200,40,1153.6606953100018,0.45,"{'Growth Department': 60.0, 'Compliance Department': 14.0, 'ESG Department': 13.0, 'Operations Department': 20.73832097060607, 'Risk Department': 18.49591169472463}",60.0,13.5,20.73832097060607,18.49591169472463,300,1612480.5161169388,5374.935053723129,deepseek/deepseek-v4-flash,conservative,standard,
independent,0,0.17989934740595004,41.6639568562592,True,8.0,9,112.0,15.420932637845393,77.10466318922697,15.743253889723684,14.1127301309017,41.5,0,0,169.36932332399738,0.0,"{'Growth Department': 19.0, 'Trading/Opportunity Team': 22.0, 'Compliance Department': -6.0, 'Operations Department': 6.604663189226972, 'Saboteur Department': 35.5}",20.5,-6.0,6.604663189226972,,45,169367.9874580048,3763.733054622329,deepseek/deepseek-v4-flash,free_rider,standard,35.5
free_negotiation,0,3.633679138307521,44.00192895226989,True,8.0,9,109.0,14.963170394344711,74.81585197172356,16.90946368452423,15.329878935818813,44.5,90,18,537.252319823001,0.5555555555555556,"{'Growth Department': 21.0, 'Trading/Opportunity Team': 22.0, 'Compliance Department': -9.0, 'Operations Department': 5.315851971723559, 'Saboteur Department': 35.5}",21.5,-9.0,5.315851971723559,,135,707962.5714489885,5244.167195918433,deepseek/deepseek-v4-flash,free_rider,standard,35.5
