mechanism,composition,scale,model,final_reserve_mean,final_reserve_std,average_reserve_mean,average_reserve_std,steps_survived_mean,steps_survived_std,total_withdrawal_mean,total_withdrawal_std,average_reward_mean,average_reward_std,social_welfare_mean,social_welfare_std,total_messages_mean,total_messages_std,total_rounds_mean,total_rounds_std,wall_time_seconds_mean,wall_time_seconds_std,debate_override_rate_mean,debate_override_rate_std,crisis_rate,reward_profit_mean,reward_profit_std,reward_sustainability_mean,reward_sustainability_std,reward_balanced_mean,reward_balanced_std,reward_risk_averse_mean,reward_risk_averse_std,llm_calls_mean,llm_total_latency_ms_mean,llm_avg_latency_ms_mean,mean_absolute_reward_gap_mean,mean_absolute_reward_gap_std,reward_std_mean,reward_std_std,reward_range_mean,reward_range_std
independent,standard,standard,deepseek/deepseek-v4-flash,4.526098228228076,,39.04257281569584,,12.0,,123.0,,12.778379830329895,,63.891899151649476,,0.0,,0.0,,275.58778958600124,,0.0,,1.0,28.0,,-8.0,,7.501377187084911,,8.390521964564561,,60.0,275585.58495898976,4593.093082649829,14.959779650066414,,13.74217277652882,,37.0,
free_negotiation,standard,standard,deepseek/deepseek-v4-flash,2.1532470422693173,,38.59304401825664,,14.0,,133.0,,14.152239136482368,,70.76119568241184,,140.0,,28.0,,808.9326465739996,,0.6428571428571429,,1.0,33.5,,-10.0,,5.458130741566455,,8.303064940845386,,210.0,1171970.7119529995,5580.812914061902,18.486699081349364,,16.984126210806444,,44.0,
independent,aggressive,standard,deepseek/deepseek-v4-flash,0.0,,39.24082552530196,,10.0,,115.0,,15.53066524048809,,77.65332620244045,,0.0,,0.0,,280.74664302100064,,0.0,,1.0,22.333333333333332,,,,4.353326202440462,,6.3,,50.0,280744.8752789951,5614.897505579902,8.638935615219053,,8.386103206666723,,18.646673797559536,
free_negotiation,aggressive,standard,deepseek/deepseek-v4-flash,0.0,,41.756304495591316,,10.0,,115.0,,15.641964322692413,,78.20982161346207,,100.0,,20.0,,803.8094921310003,,0.6,,1.0,24.0,,,,2.969821613462077,,3.24,,150.0,1185467.1054599911,7903.114036399941,10.371257083692136,,10.256336588215838,,22.030178386537923,
independent,conservative,standard,deepseek/deepseek-v4-flash,2.856204418057832,,36.15044191918626,,20.0,,169.0,,14.01425593448406,,70.0712796724203,,0.0,,0.0,,605.187343607,,0.0,,1.0,51.0,,-4.5,,10.754155584059145,,17.31712408836115,,100.0,605183.9624939949,6051.839624939948,21.330739854137782,,20.374188582771783,,56.0,
free_negotiation,conservative,standard,deepseek/deepseek-v4-flash,23.309061321520616,,44.45491968765906,,20.0,,162.0,,29.33680203216913,,146.68401016084565,,200.0,,40.0,,1173.949194638999,,0.45,,0.0,60.0,,22.0,,22.997828934415242,,19.68618122643041,,300.0,1606559.2936389784,5355.197645463261,13.060074637048707,,15.370140530281914,,40.313818773569594,
independent,free_rider,standard,deepseek/deepseek-v4-flash,0.0,,39.499081540311295,,10.0,,115.0,,14.895219017518468,,74.47609508759234,,0.0,,0.0,,202.24517329599985,,0.0,,1.0,21.5,,-12.0,,3.4760950875923484,,,,50.0,202243.42344000252,4044.8684688000503,19.763824785985225,,17.752439207944153,,52.0,
free_negotiation,free_rider,standard,deepseek/deepseek-v4-flash,0.0,,41.31719369468627,,10.0,,117.0,,16.341271026583808,,81.70635513291904,,100.0,,20.0,,796.0243404210014,,0.6,,1.0,24.0,,-9.0,,2.706355132919052,,,,150.0,1090993.0836030398,7273.287224020266,19.246983178732954,,17.3616742526989,,49.0,
